id,full_photo,thumbnail_photo
1,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
2,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
3,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
4,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
5,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
6,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
7,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
8,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
9,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
10,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
11,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
12,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
13,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
14,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
15,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
16,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
17,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
18,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
19,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
20,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
21,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
22,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
23,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
24,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
25,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
26,http://loremflickr.com/300/300/clothes,http://loremflickr.com/50/50/clothes
